"county","cz","czname"
19165,27503,"Atlantic"
19009,27503,"Atlantic"
19029,27503,"Atlantic"
21053,4602,"Somerset"
21231,4602,"Somerset"
21199,4602,"Somerset"
21147,4602,"Somerset"
47151,4602,"Somerset"
48345,30907,"Matador"
8099,28502,"Pueblo"
8101,28502,"Pueblo"
8025,28502,"Pueblo"
8089,28502,"Pueblo"
8011,28502,"Pueblo"
20005,29501,"Leavenworth"
20103,29501,"Leavenworth"
13115,6600,"Rome"
13233,6600,"Rome"
1019,6600,"Rome"
13129,6600,"Rome"
13015,6600,"Rome"
13213,6600,"Rome"
13055,6600,"Rome"
13313,6600,"Rome"
38001,26404,"Lemmon"
46105,26404,"Lemmon"
38041,26404,"Lemmon"
51001,19903,"Chincoteague"
51131,19903,"Chincoteague"
55067,22602,"Shawano"
55115,22602,"Shawano"
55078,22602,"Shawano"
25003,20902,"Pittsfield"
50003,20902,"Pittsfield"
54011,17100,"Huntington"
39087,17100,"Huntington"
21063,17100,"Huntington"
21089,17100,"Huntington"
21043,17100,"Huntington"
21205,17100,"Huntington"
21019,17100,"Huntington"
54099,17100,"Huntington"
35055,34802,"Santa Fe"
35028,34802,"Santa Fe"
35039,34802,"Santa Fe"
35049,34802,"Santa Fe"
29123,24600,"Farmington"
29093,24600,"Farmington"
29221,24600,"Farmington"
29186,24600,"Farmington"
29157,24600,"Farmington"
29187,24600,"Farmington"
1081,9800,"Auburn"
1011,9800,"Auburn"
1087,9800,"Auburn"
16045,35801,"Boise City"
16039,35801,"Boise City"
16001,35801,"Boise City"
16015,35801,"Boise City"
16073,35801,"Boise City"
16027,35801,"Boise City"
22019,3700,"Lake Charles"
22053,3700,"Lake Charles"
22115,3700,"Lake Charles"
22023,3700,"Lake Charles"
22003,3700,"Lake Charles"
22011,3700,"Lake Charles"
6027,37903,"Mammoth Lakes"
6051,37903,"Mammoth Lakes"
13017,8501,"Fitzgerald"
13155,8501,"Fitzgerald"
41029,36800,"Medford"
41033,36800,"Medford"
1027,9500,"Talladega"
1037,9500,"Talladega"
1121,9500,"Talladega"
1123,9500,"Talladega"
17113,23400,"Bloomington"
17039,23400,"Bloomington"
17105,23400,"Bloomington"
22043,3600,"Alexandria"
22079,3600,"Alexandria"
22009,3600,"Alexandria"
17159,14801,"Olney"
17193,14801,"Olney"
17191,14801,"Olney"
17047,14801,"Olney"
39009,15800,"Athens"
39105,15800,"Athens"
54053,15800,"Athens"
39053,15800,"Athens"
20123,29103,"Beloit"
20141,29103,"Beloit"
51085,2400,"Richmond"
51097,2400,"Richmond"
51760,2400,"Richmond"
51145,2400,"Richmond"
51075,2400,"Richmond"
51101,2400,"Richmond"
51087,2400,"Richmond"
51127,2400,"Richmond"
51036,2400,"Richmond"
51183,2400,"Richmond"
51670,2400,"Richmond"
51053,2400,"Richmond"
51007,2400,"Richmond"
51730,2400,"Richmond"
51041,2400,"Richmond"
51149,2400,"Richmond"
51570,2400,"Richmond"
48309,32801,"Waco"
48145,32801,"Waco"
48217,32801,"Waco"
48035,32801,"Waco"
54061,16702,"Morgantown"
54077,16702,"Morgantown"
54033,16702,"Morgantown"
54017,16702,"Morgantown"
54049,16702,"Morgantown"
54091,16702,"Morgantown"
42109,18700,"Sunbury"
42097,18700,"Sunbury"
42093,18700,"Sunbury"
42119,18700,"Sunbury"
1091,10802,"Demopolis"
1063,10802,"Demopolis"
1119,10802,"Demopolis"
1023,10802,"Demopolis"
5001,4301,"Stuttgart"
5095,4301,"Stuttgart"
5117,4301,"Stuttgart"
8017,28504,"Burlington"
8063,28504,"Burlington"
8061,28504,"Burlington"
5037,5300,"West Memphis"
5107,5300,"West Memphis"
5123,5300,"West Memphis"
5077,5300,"West Memphis"
5035,5300,"West Memphis"
18115,12800,"Washington"
18031,12800,"Washington"
18137,12800,"Washington"
18047,12800,"Washington"
18155,12800,"Washington"
18029,12800,"Washington"
48433,32503,"Haskell"
48275,32503,"Haskell"
48207,32503,"Haskell"
48125,32503,"Haskell"
48269,32503,"Haskell"
22107,3202,"Natchez"
28037,3202,"Natchez"
28001,3202,"Natchez"
22029,3202,"Natchez"
29163,25000,"Quincy"
17001,25000,"Quincy"
29173,25000,"Quincy"
29127,25000,"Quincy"
17149,25000,"Quincy"
29111,25000,"Quincy"
16021,34501,"Bonners Ferry"
26151,11600,"Detroit"
26163,11600,"Detroit"
26087,11600,"Detroit"
26155,11600,"Detroit"
26147,11600,"Detroit"
26093,11600,"Detroit"
26161,11600,"Detroit"
26049,11600,"Detroit"
26099,11600,"Detroit"
26125,11600,"Detroit"
53073,39302,"Bellingham"
4017,35500,"Gallup"
35031,35500,"Gallup"
4001,35500,"Gallup"
55129,21101,"Rice Lake"
55113,21101,"Rice Lake"
55005,21101,"Rice Lake"
55107,21101,"Rice Lake"
48335,32403,"Snyder"
48415,32403,"Snyder"
48263,32403,"Snyder"
28051,3001,"Kosciusko"
28007,3001,"Kosciusko"
19031,22100,"Iowa City"
19103,22100,"Iowa City"
19115,22100,"Iowa City"
19139,22100,"Iowa City"
19183,22100,"Iowa City"
27121,26901,"Fergus Falls"
27111,26901,"Fergus Falls"
27051,26901,"Fergus Falls"
27149,26901,"Fergus Falls"
27041,26901,"Fergus Falls"
39047,12502,"Washington Court House"
39071,12502,"Washington Court House"
39027,12502,"Washington Court House"
23029,20002,"Calais"
39069,13501,"Toledo"
39051,13501,"Toledo"
39123,13501,"Toledo"
39095,13501,"Toledo"
26115,13501,"Toledo"
39173,13501,"Toledo"
55003,21001,"Ashland"
55007,21001,"Ashland"
55099,21001,"Ashland"
18007,14500,"Lafayette"
18171,14500,"Lafayette"
18157,14500,"Lafayette"
18015,14500,"Lafayette"
18023,14500,"Lafayette"
18045,14500,"Lafayette"
17183,14500,"Lafayette"
18181,14500,"Lafayette"
48403,32202,"Nacogdoches"
48347,32202,"Nacogdoches"
48419,32202,"Nacogdoches"
48405,32202,"Nacogdoches"
45089,1302,"Florence"
45031,1302,"Florence"
45041,1302,"Florence"
45067,1302,"Florence"
45051,1302,"Florence"
45033,1302,"Florence"
45043,1302,"Florence"
26033,11403,"Sault Ste. Marie"
26095,11403,"Sault Ste. Marie"
26097,11403,"Sault Ste. Marie"
47097,4902,"Dyersburg"
47095,4902,"Dyersburg"
47075,4902,"Dyersburg"
47045,4902,"Dyersburg"
37027,1100,"Hickory"
37003,1100,"Hickory"
37097,1100,"Hickory"
37035,1100,"Hickory"
39063,13300,"Findlay"
39143,13300,"Findlay"
39065,13300,"Findlay"
39147,13300,"Findlay"
39175,13300,"Findlay"
25015,20800,"Springfield"
25013,20800,"Springfield"
